donor_id	group	dataset	tissue	M1	M2	M3	M4	ssc_tier1
pt01017	SSc	gse195452	skin_gur	0.2158	0.1401	-0.3599	-0.0479	-0.0518
pt01018	SSc	gse195452	skin_gur	0.157	0.1737	-0.3112	-0.2838	-0.0022
pt01019	SSc	gse195452	skin_gur	0.2536	0.0566	-0.398	-0.3445	0.0363
pt01020	SSc	gse195452	skin_gur	0.1867	0.0521	-0.1993	-0.2712	-0.0025
pt01021	SSc	gse195452	skin_gur	0.1974	-0.0223	-0.4691	-0.218	0.0808
pt01022	SSc	gse195452	skin_gur	0.257	0.0229	-0.3642	-0.2077	0.0121
pt01023	SSc	gse195452	skin_gur	0.2908	-0.0145	-0.3631	-0.3729	0.0473
pt01024	SSc	gse195452	skin_gur	0.3868	-0.0719	-0.4689	-0.2587	0.0297
pt01025	SSc	gse195452	skin_gur	0.3625	-0.0169	-0.4087	-0.3177	0.0141
pt01026	SSc	gse195452	skin_gur	0.2737	0.0405	-0.4329	-0.2334	0.0157
pt01027	SSc	gse195452	skin_gur	0.2331	-0.0238	-0.4439	-0.1623	0.0534
pt01028	SSc	gse195452	skin_gur	0.2387	0.0387	-0.4158	-0.1856	0.0196
pt01029	SSc	gse195452	skin_gur	0.303	-0.0086	-0.4552	-0.2088	0.0247
pt01030	SSc	gse195452	skin_gur	0.3891	-0.0374	-0.509	-0.2239	0.0164
pt01031	SSc	gse195452	skin_gur	0.2263	0.032	-0.3562	-0.3811	0.0562
pt01032	SSc	gse195452	skin_gur	0.3775	-0.0768	-0.4203	-0.2194	0.0139
pt01033	SSc	gse195452	skin_gur	0.4532	-0.0639	-0.4689	-0.1583	-0.0233
pt01034	SSc	gse195452	skin_gur	0.3039	-0.003	-0.4351	-0.2508	0.0307
pt01035	SSc	gse195452	skin_gur	0.2519	0.075	-0.3106	-0.2537	-0.0116
pt01036	SSc	gse195452	skin_gur	0.2962	-0.1202	-0.46	-0.3314	0.1015
pt01037	SSc	gse195452	skin_gur	0.1853	0.0178	-0.3792	-0.3234	0.0721
pt01038	SSc	gse195452	skin_gur	0.2132	0.0694	-0.4407	-0.2947	0.0462
pt01039	SSc	gse195452	skin_gur	0.2807	0.0484	-0.4255	-0.2261	0.0106
pt01040	SSc	gse195452	skin_gur	0.166	0.0642	-0.2484	-0.3241	0.029
pt01042	SSc	gse195452	skin_gur	0.2203	0.0109	-0.4115	-0.1673	0.0327
pt01043	SSc	gse195452	skin_gur	0.2451	0.0974	-0.3508	-0.1764	-0.0281
pt01044	SSc	gse195452	skin_gur	0.3253	0.1502	-0.4794	-0.2833	-0.026
pt01045	SSc	gse195452	skin_gur	0.3648	0.1915	-0.3329	-0.0388	-0.146
pt01046	SSc	gse195452	skin_gur	0.7702	-0.2605	-0.56	-0.4283	0.0026
pt01047	SSc	gse195452	skin_gur	0.2003	0.0094	-0.309	-0.3173	0.0404
pt01048	SSc	gse195452	skin_gur	0.2927	0.0334	-0.3411	-0.3042	0.0011
pt01049	SSc	gse195452	skin_gur	0.2949	0.1273	-0.2233	-0.5106	-0.0235
pt01050	SSc	gse195452	skin_gur	0.1831	0.0631	-0.2435	-0.2489	0.001
pt01051	SSc	gse195452	skin_gur	0.0892	0.0685	-0.1838	-0.1621	0.004
pt01052	SSc	gse195452	skin_gur	0.1321	0.0795	-0.1537	-0.2764	0.0006
pt01053	SSc	gse195452	skin_gur	0.4171	-0.0499	-0.3852	-0.2928	0.0083
pt01054	SSc	gse195452	skin_gur	0.2545	0.0572	-0.224	-0.2977	-0.0226
pt02001	SSc	gse195452	skin_gur	0.2991	-0.0277	-0.3824	-0.3604	0.0456
pt02002	SSc	gse195452	skin_gur	0.2924	-0.086	-0.2705	-0.1313	-0.0087
pt02003	SSc	gse195452	skin_gur	0.2939	0.1419	-0.3383	-0.2812	-0.0384
pt02004	SSc	gse195452	skin_gur	0.1788	-0.0069	-0.4126	-0.1496	0.0598
pt02005	SSc	gse195452	skin_gur	0.4059	-0.0634	-0.4733	-0.2409	0.0116
pt02006	SSc	gse195452	skin_gur	0.4087	0.0893	-0.461	-0.3471	-0.0248
pt02007	SSc	gse195452	skin_gur	0.3046	0.0273	-0.417	-0.4498	0.0553
pt02008	SSc	gse195452	skin_gur	0.2587	-0.0845	-0.4819	-0.295	0.0964
pt02009	SSc	gse195452	skin_gur	0.2364	0.012	-0.4715	-0.4168	0.1012
pt02010	SSc	gse195452	skin_gur	0.3755	-0.0136	-0.4291	-0.3365	0.0211
pt02011	SSc	gse195452	skin_gur	0.3736	-0.0666	-0.4567	-0.3284	0.0414
pt02012	SSc	gse195452	skin_gur	0.3103	0.0319	-0.2787	-0.329	-0.0148
pt03001	SSc	gse195452	skin_gur	0.325	-0.0384	-0.3055	-0.3344	0.0103
pt03002	SSc	gse195452	skin_gur	0.471	-0.1295	-0.4176	-0.3944	0.0291
pt03003	SSc	gse195452	skin_gur	0.29	0.0228	-0.3673	-0.2744	0.0079
pt03004	SSc	gse195452	skin_gur	0.5208	-0.059	-0.4548	-0.3103	-0.026
pt03005	SSc	gse195452	skin_gur	0.2003	0.0756	-0.3554	-0.3507	0.0411
pt03006	SSc	gse195452	skin_gur	0.3236	-0.0842	-0.5024	-0.3099	0.0792
pt03009	SSc	gse195452	skin_gur	0.2085	-0.0069	-0.3614	-0.2681	0.0535
pt03010	SSc	gse195452	skin_gur	0.3444	-0.0208	-0.4401	-0.3859	0.042
pt03011	SSc	gse195452	skin_gur	0.5488	-0.118	-0.4752	-0.3503	0.0072
